coordinate,text,expected_label,revision,class,score,reference,prediction,correct
0,How do I locate my card?,card_arrival,2,card_arrival,215361,215361,card_arrival,True
0,How do I locate my card?,card_arrival,2,cash_withdrawal_charge,198734,198734,card_arrival,True
0,How do I locate my card?,card_arrival,4,card_arrival,447965,447965,card_arrival,True
0,How do I locate my card?,card_arrival,4,cash_withdrawal_charge,401795,401795,card_arrival,True
0,How do I locate my card?,card_arrival,6,card_arrival,470157,470157,card_arrival,True
0,How do I locate my card?,card_arrival,6,cash_withdrawal_charge,402003,402003,card_arrival,True
1,"I still have not received my new card, I ordered over a week ago.",card_arrival,2,card_arrival,223775,223775,card_arrival,True
1,"I still have not received my new card, I ordered over a week ago.",card_arrival,2,cash_withdrawal_charge,203864,203864,card_arrival,True
1,"I still have not received my new card, I ordered over a week ago.",card_arrival,4,card_arrival,456661,456661,card_arrival,True
1,"I still have not received my new card, I ordered over a week ago.",card_arrival,4,cash_withdrawal_charge,415708,415708,card_arrival,True
1,"I still have not received my new card, I ordered over a week ago.",card_arrival,6,card_arrival,453187,453187,card_arrival,True
1,"I still have not received my new card, I ordered over a week ago.",card_arrival,6,cash_withdrawal_charge,419492,419492,card_arrival,True
2,I ordered a card but it has not arrived. Help please!,card_arrival,2,card_arrival,228957,228957,card_arrival,True
2,I ordered a card but it has not arrived. Help please!,card_arrival,2,cash_withdrawal_charge,198190,198190,card_arrival,True
2,I ordered a card but it has not arrived. Help please!,card_arrival,4,card_arrival,463202,463202,card_arrival,True
2,I ordered a card but it has not arrived. Help please!,card_arrival,4,cash_withdrawal_charge,402483,402483,card_arrival,True
2,I ordered a card but it has not arrived. Help please!,card_arrival,6,card_arrival,464320,464320,card_arrival,True
2,I ordered a card but it has not arrived. Help please!,card_arrival,6,cash_withdrawal_charge,410460,410460,card_arrival,True
3,Is there a way to know when my card will arrive?,card_arrival,2,card_arrival,238145,238145,card_arrival,True
3,Is there a way to know when my card will arrive?,card_arrival,2,cash_withdrawal_charge,193263,193263,card_arrival,True
3,Is there a way to know when my card will arrive?,card_arrival,4,card_arrival,472904,472904,card_arrival,True
3,Is there a way to know when my card will arrive?,card_arrival,4,cash_withdrawal_charge,387129,387129,card_arrival,True
3,Is there a way to know when my card will arrive?,card_arrival,6,card_arrival,467553,467553,card_arrival,True
3,Is there a way to know when my card will arrive?,card_arrival,6,cash_withdrawal_charge,402882,402882,card_arrival,True
4,My card has not arrived yet.,card_arrival,2,card_arrival,229766,229766,card_arrival,True
4,My card has not arrived yet.,card_arrival,2,cash_withdrawal_charge,200181,200181,card_arrival,True
4,My card has not arrived yet.,card_arrival,4,card_arrival,466943,466943,card_arrival,True
4,My card has not arrived yet.,card_arrival,4,cash_withdrawal_charge,403481,403481,card_arrival,True
4,My card has not arrived yet.,card_arrival,6,card_arrival,457061,457061,card_arrival,True
4,My card has not arrived yet.,card_arrival,6,cash_withdrawal_charge,405004,405004,card_arrival,True
5,When will I get my card?,card_arrival,2,card_arrival,232773,232773,card_arrival,True
5,When will I get my card?,card_arrival,2,cash_withdrawal_charge,202753,202753,card_arrival,True
5,When will I get my card?,card_arrival,4,card_arrival,474654,474654,card_arrival,True
5,When will I get my card?,card_arrival,4,cash_withdrawal_charge,407175,407175,card_arrival,True
5,When will I get my card?,card_arrival,6,card_arrival,469438,469438,card_arrival,True
5,When will I get my card?,card_arrival,6,cash_withdrawal_charge,412335,412335,card_arrival,True
