scope,term,unit,count,formula,visibility,status,notes
one private 14-token feature extraction; public weights,Q/K/V/O and gated-MLP linear maps,private_public_multiply,1486356480,L*n*(2*d^2+2*d*kv+3*d*f),private activation; public weights,DERIVED scalar circuit accounting,Dense matrix products; scalar multiplication term only
one private 14-token feature extraction; public weights,linear-map reductions,private_add,1484179200,linear multiplies - L*n*(3d+2kv+2f),private weighted activations,DERIVED scalar circuit accounting,Naive scalar dot-product reductions; machine instruction count differs
one private 14-token feature extraction; public weights,attention QK and probability V,private_private_multiply,6773760,2*L*n^2*d,both operands tainted,DERIVED scalar circuit accounting,Eager dense n-by-n attention including masked positions
one private 14-token feature extraction; public weights,attention matrix reductions,private_add,6478920,L*(n^2*heads*(head_dim-1)+n*d*(n-1)),private scores and values,DERIVED scalar circuit accounting,Dense scalar expansion
one private 14-token feature extraction; public weights,attention scale,private_public_multiply,52920,L*heads*n^2,private scores; public head scale,DERIVED scalar circuit accounting,Mask addition and stable-softmax internals are additional
one private 14-token feature extraction; public weights,gated MLP element product,private_private_multiply,645120,L*n*f,SiLU(gate) and up projection tainted,DERIVED scalar circuit accounting,SiLU internal operations counted as separate primitive below
one private 14-token feature extraction; public weights,SiLU,private_silu,645120,L*n*f,private gate vector,DERIVED scalar circuit accounting,No exact integer refinement or HE realization supplied
one private 14-token feature extraction; public weights,RMSNorm square,private_private_multiply,491904,(2L+1)*n*d,private activations,DERIVED scalar circuit accounting,"Mean sums, public scaling and epsilon also required"
one private 14-token feature extraction; public weights,RMSNorm apply inverse root,private_private_multiply,491904,(2L+1)*n*d,private activations and reciprocal root,DERIVED scalar circuit accounting,Learned RMS weights are public; multiply count separate
one private 14-token feature extraction; public weights,RMSNorm root,private_rsqrt,854,(2L+1)*n,private variance,DERIVED scalar circuit accounting,Nonlinear reciprocal-square-root; not a free gate
one private 14-token feature extraction; public weights,RMSNorm sum and epsilon,private_add,491904,(2L+1)*n*((d-1)+1),private variance,DERIVED scalar circuit accounting,Mean scaling by 1/d also requires a public-scalar multiplication per row
one private 14-token feature extraction; public weights,attention softmax,private_softmax_vector,3780,L*heads*n vectors of n elements,private scores,DERIVED scalar circuit accounting,Each vector requires max/sum/exp/division or a specified alternative; no HE cost claimed
one private 14-token feature extraction; public weights,RoPE multiply,private_public_multiply,645120,2*L*n*(d+kv),private Q/K; public position sin/cos,DERIVED scalar circuit accounting,Public positions/length assumed
one private 14-token feature extraction; public weights,RoPE add,private_add,322560,L*n*(d+kv),private rotated coordinates,DERIVED scalar circuit accounting,Negation and public trig table generation separate
one private 14-token feature extraction; public weights,RMS learned weight multiply,private_public_multiply,491904,(2L+1)*n*d,private normalized activations; public weights,DERIVED scalar circuit accounting,In addition to inverse-root application
one private 14-token feature extraction; public weights,residual add,private_add,483840,2*L*n*d,private residual branches,DERIVED scalar circuit accounting,Other matrix-reduction/addition work is NOT included in this row
one private 14-token feature extraction; public weights,embedding lookup,private_token_lookup,14,n,private token IDs; public embedding table,DERIVED scalar circuit accounting,Oblivious lookup/address hiding required if host must not learn input
one private 14-token feature extraction; public weights,base A/B head (baseline only),private_public_multiply,1152,2*d,private final hidden; public head,DERIVED scalar circuit accounting,Adaptive heads replace this task output; no full vocabulary emitted
one private 14-token feature extraction; public weights,full vocabulary alternative head,private_public_multiply,28311552,d*vocab,private hidden; public full head,DERIVED scalar circuit accounting,NOT executed here; needed if replacing binary task output with full logits; selection/release separate
private model feature to full readout,public center subtraction,private_add,576,d,private hidden; public center,DERIVED scalar circuit accounting,Bias insertion is public; chosen scale uses public unlabeled teaching-domain statistics
private model feature to full readout,public normalization scale,private_public_multiply,577,d+1,private centered hidden; public scale,DERIVED scalar circuit accounting,Fixed-point importer adds round-even and clamp per coordinate; unproved from float kernel
private model feature to projected readout,fixed projection,private_public_multiply,36864,d*64,private centered hidden; public Rademacher matrix,DERIVED scalar circuit accounting,"Plus d centering additions,64*(d-1) projection additions and65 public scaling multiplications"
private sensor to quadratic features,quadratic monomials,private_private_multiply,3,"xy,x^2,y^2","private normalized x,y",DERIVED scalar circuit accounting,"Input/output public scaling, fixed-point import rounding and proof of feature provenance also required"
exact fixed-point LMS Learn dimension 577; private feature and label,dot and error-feature update,private_private_multiply,1154,2r,private M and P; private error,DERIVED scalar circuit accounting,Chosen eta=1; public rho scaling is separate
